freq,resp
1.0,1.6835873
2.0,2.9704659
3.0,4.2959712
4.0,5.6559178
5.0,7.0275887
6.0,8.3993809
7.0,9.7705829
8.0,11.137689
9.0,12.499587
10.0,13.8569
11.0,15.206407
12.0,16.547181
13.0,17.881241
14.0,19.205735
15.0,20.51819
16.0,21.822291
17.0,23.115969
18.0,24.394339
19.0,25.663005
20.0,26.921046
21.0,28.160565
22.0,29.389283
23.0,30.60714
24.0,31.804513
25.0,32.98966
26.0,34.163109
27.0,35.316375
28.0,36.455181
29.0,37.581678
30.0,38.688782
31.0,39.779284
32.0,40.857078
33.0,41.916661
34.0,42.957643
35.0,43.985713
36.0,44.997051
37.0,45.987975
38.0,46.965952
39.0,47.928889
40.0,48.869813
41.0,49.797902
42.0,50.712774
43.0,51.604264
44.0,52.483155
45.0,53.349466
46.0,54.193767
47.0,55.024552
48.0,55.843099
49.0,56.641846
50.0,57.425938
51.0,58.198209
52.0,58.952888
53.0,59.691945
54.0,60.419655
55.0,61.131935
56.0,61.827794
57.0,62.512821
58.0,63.184496
59.0,63.839119
60.0,64.483445
61.0,65.116392
62.0,65.73181
63.0,66.337479
64.0,66.933433
65.0,67.511892
66.0,68.080968
67.0,68.640879
68.0,69.185418
69.0,69.719953
70.0,70.245865
71.0,70.758381
72.0,71.260391
73.0,71.754307
74.0,72.236652
75.0,72.708098
76.0,73.171961
77.0,73.625926
78.0,74.0687
79.0,74.50438
80.0,74.931688
81.0,75.3476
82.0,75.756887
83.0,76.159184
84.0,76.549961
85.0,76.934554
86.0,77.312991
87.0,77.680685
88.0,78.042196
89.0,78.397966
90.0,78.744411
91.0,79.084359
92.0,79.418957
93.0,79.745515
94.0,80.065328
95.0,80.380157
96.0,80.688107
97.0,80.989125
98.0,81.285501
99.0,81.576043
100.0,81.859521
101.0,82.138674
102.0,82.412933
103.0,82.68004
104.0,82.94312
105.0,83.202147
106.0,83.453975
107.0,83.702052
108.0,83.946395
109.0,84.184397
110.0,84.418469
111.0,84.649062
112.0,84.874166
113.0,85.095161
114.0,85.312914
115.0,85.525945
116.0,85.734726
117.0,85.940484
118.0,86.142211
119.0,86.33958
120.0,86.534129
121.0,86.725268
122.0,86.911969
123.0,87.096039
124.0,87.277257
125.0,87.453982
126.0,87.628251
127.0,87.800075
128.0,87.96756
129.0,88.132658
130.0,88.295472
131.0,88.454506
132.0,88.611018
133.0,88.765394
134.0,88.916497
135.0,89.064966
136.0,89.211437
137.0,89.355091
138.0,89.496021
139.0,89.635082
140.0,89.771737
141.0,89.905597
142.0,90.037707
143.0,90.167783
144.0,90.295008
145.0,90.420593
146.0,90.54448
147.0,90.665476
148.0,90.784935
149.0,90.902863
150.0,91.01814
151.0,91.131841
152.0,91.244107
153.0,91.354058
154.0,91.462347
155.0,91.569286
156.0,91.674219
157.0,91.777414
158.0,91.879342
159.0,91.979541
160.0,92.077941
161.0,92.17515
162.0,92.270882
163.0,92.364766
164.0,92.457529
165.0,92.549042
166.0,92.638669
167.0,92.72724
168.0,92.81476
169.0,92.900379
170.0,92.984996
171.0,93.068623
172.0,93.150579
173.0,93.231463
174.0,93.311414
175.0,93.389904
176.0,93.467263
177.0,93.543741
178.0,93.61895
179.0,93.692977
180.0,93.766173
181.0,93.838273
182.0,93.909149
183.0,93.979241
184.0,94.048396
185.0,94.116291
186.0,94.183444
187.0,94.249806
188.0,94.314879
189.0,94.37925
190.0,94.442922
191.0,94.50536
192.0,94.567095
193.0,94.628169
194.0,94.688156
195.0,94.747392
196.0,94.806001
197.0,94.863659
198.0,94.920524
199.0,94.976797
200.0,95.032241
201.0,95.086856
202.0,95.140909
203.0,95.194248
204.0,95.246727
205.0,95.298673
206.0,95.350008
207.0,95.400457
208.0,95.4504
209.0,95.499828
210.0,95.548348
211.0,95.596387
212.0,95.643947
213.0,95.690682
214.0,95.73691
215.0,95.782683
216.0,95.827728
217.0,95.872232
218.0,95.916303
219.0,95.959736
220.0,96.002598
221.0,96.045049
222.0,96.086944
223.0,96.128242
224.0,96.169149
225.0,96.209576
226.0,96.249383
227.0,96.288818
228.0,96.327843
229.0,96.366228
230.0,96.404259
231.0,96.441935
232.0,96.478974
233.0,96.515664
234.0,96.552017
