fc,fl,fh
1.25,1.12,1.41
1.6,1.41,1.78
2.0,1.78,2.24
2.5,2.24,2.82
3.15,2.82,3.55
4.0,3.55,4.47
5.0,4.47,5.62
6.3,5.62,7.08
8.0,7.08,8.91
10.0,8.91,11.2
12.5,11.200000000000001,14.1
16.0,14.1,17.8
20.0,17.8,22.400000000000002
25.0,22.400000000000002,28.2
31.5,28.2,35.5
40.0,35.5,44.699999999999996
50.0,44.699999999999996,56.2
63.0,56.2,70.8
80.0,70.8,89.1
100.0,89.1,112.0
125.0,112.00000000000001,141.0
160.0,141.0,178.0
200.0,178.0,224.00000000000003
250.0,224.00000000000003,282.0
315.0,282.0,355.0
400.0,355.0,447.0
500.0,447.0,562.0
630.0,562.0,708.0
800.0,708.0,891.0
1000.0,891.0,1120.0
1250.0,1120.0,1410.0
1600.0,1410.0,1780.0
2000.0,1780.0,2240.0
2500.0,2240.0,2820.0
3150.0,2820.0,3550.0
4000.0,3550.0,4470.0
5000.0,4470.0,5620.0
6300.0,5620.0,7080.0
8000.0,7080.0,8910.0
10000.0,8910.0,11200.0
12500.0,11200.000000000002,14100.0
16000.0,14100.0,17800.0
20000.0,17800.0,22400.000000000004
25000.0,22400.000000000004,28200.0
31500.0,28200.0,35500.0
40000.0,35500.0,44700.0
50000.0,44700.0,56200.0
63000.0,56200.0,70800.0
80000.0,70800.0,89100.0
100000.0,89100.0,112000.0
